Abbreviation,Subject,Creator,Title,Publisher,Contributor,Date,Type,Format,Identifier,Source,Citation,Language,Rights,Coverage
chirps_tprecit,Weather,CHIRPS,Total precipitation,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.1038/sdata.2015.66,CHIRPS,https://doi.org/10.1038/sdata.2015.66,eng,CC BY 4.0,Tanzania
chirts_maxt,Weather,CHIRTS,Maximum Temperature,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,https://doi.org/10.15780/G2008H,CHIRTS,https://doi.org/10.1175/JCLI-D-18-0698.1,eng,CC0 1.0 ,Tanzania
chirts_mint,Weather,CHIRTS,Minimum Temperature,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,https://doi.org/10.15780/G2008H,CHIRTS,https://doi.org/10.1175/JCLI-D-18-0698.1,eng,CC0 1.0 ,Tanzania
cia_worldfactbook,Demographic,CIA,,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,,,,eng,,Tanzania
copernicus_built,Enviromental,Copernicus Land Cover,Proportion Built-up,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_crop,Enviromental,Copernicus Land Cover,Proportion Cropland,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_forest,Enviromental,Copernicus Land Cover,Proportion Forest,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_herbveg,Enviromental,Copernicus Land Cover,Proportion herbaceous Wetland,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_herbwet,Enviromental,Copernicus Land Cover,Proportion permanent herbaceous wetland,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_maxt,Weather,Copernicus,Maximum Temperature,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.24381/cds.e2161bac,Copernicus,doi.org/10.1002/qj.3803,eng,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-land?tab=overview,Tanzania
copernicus_mint,Weather,Copernicus,Minumum Temperature,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.24381/cds.e2161bac,Copernicus,doi.org/10.1002/qj.3803,eng,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-land?tab=overview,Tanzania
copernicus_moss,Enviromental,Copernicus Land Cover,Proportion Moss & Litchen,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_schrub,Enviromental,Copernicus Land Cover,Proportion Shrubland,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_sparse,Enviromental,Copernicus Land Cover,Proportion Bare & Sparse,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
copernicus_water,Enviromental,Copernicus Land Cover,Proportion permanent Water Bodies,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5281/zenodo.3939038,Copernicus,10.3390/rs12061044,eng,CC BY 4.0,Tanzania
esida_dengue_suitability,Enviromental,ESIDA,Dengue Suitability Index,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,None,Expert knowledge,None,eng,None,Tanzania
fao_drought,Weather,FAO,Agricultutral Stress Index,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,https://io.apps.fao.org/geoserver/wms/ASIS/ASI_D/v1?service=WMS&version=1.3.0&request=GetCapabilities,FAO,"FAO - Agricultrual Stress Index System (ASIS), http://www.fao.org/giews/earthobservation/",eng,CC BY-NC- SA 3.0 IGO,Tanzania
geofabrik_pois,Infrastructure,OpenStreetMap,,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,,,,eng,,Tanzania
